	esty_ci
SRR3108963	(0.0003053150220486498, 0.001187222291384186)
SRR3108968	(-2.3077705043612152e-05, 0.0002536186116457274)
SRR3108969	(0.0009802628462992453, 0.001863493078192264)
SRR3108988	(0.00017310250469403804, 0.0007015272684985594)
SRR3108989	(-1.7578239381810137e-05, 0.00034101965605521517)
SRR3108991	(-3.572890146473647e-06, 0.00022038680960010258)
SRR3108994	(0.0005675698892723829, 0.001513730923735747)
SRR3108998	(0.000361308154560566, 0.001953399497862933)
SRR8365816	(4.6357707941468214e-05, 0.0004175000423484429)
SRR8365817	(-2.9353931013992234e-05, 0.0001761383047689462)
SRR8365826	(-3.270300684101986e-05, 0.0005298959384148426)
SRR8365827	(-0.00011749963065847539, 0.0004544978192932115)
SRR8365828	(-3.427044553727635e-05, 0.0003093026758767693)
SRR8365829	(-0.00014652137550994854, 0.000697232710984937)
SRR8365832	(-0.00020168810093127234, 0.0004688320648134084)
SRR8365833	(-0.00011880597050150129, 0.000308620521684995)
SRR8365834	(6.277913633994216e-05, 0.0007389133255239929)
SRR8365849	(-0.00029946439888997524, 0.0006530920289954742)
SRR8365850	(-0.00014981908380832783, 0.00022140745069870813)
SRR8365851	(-3.451751183102366e-05, 0.0006698011659826023)
SRR8365852	(-6.022649745492471e-05, 0.00021215435342731724)
SRR8365853	(1.8572530793378012e-05, 0.00032176873867955714)
SRR8365854	(-0.00019227128076343425, 0.0003215732655489007)
SRR8365855	(-1.091168652367041e-05, 0.0002713437670208589)
SRR8365856	(-0.0004015868384655983, 0.0007369884819336514)
SRR8365867	(-7.134091257524854e-05, 0.0001382268163710236)
SRR8365868	(-0.00013981079523867608, 0.000305878924688783)
SRR9660293	(0.002769462058643043, 0.004207751829684812)
SRR9660294	(0.001556867912014177, 0.0027675723231495976)
SRR9660295	(0.0009571125792786029, 0.0018822484210942424)
SRR9660296	(0.0015892527383189526, 0.002718925620265093)
SRR9660297	(8.955196352516108e-05, 0.00039707118915814247)
SRR9660298	(0.0009462112248226157, 0.0017812438189637337)
SRR9660299	(0.0014813785909950775, 0.002763631378346517)
SRR9660300	(0.001127136999700025, 0.00199203832077622)
SRR14654853	(-0.007313476647360996, 0.007313476647360996)
SRR14654854	(-0.008200614347188809, 0.008200614347188809)
SRR14654855	(-0.00934029509237732, 0.00934029509237732)
SRR14654856	(-0.0042700740413943354, 0.0042700740413943354)
SRR14654857	(-0.006470231371269465, 0.006470231371269465)
SRR14654858	(-0.007477438773183182, 0.007477438773183182)
SRR14654859	(-0.008730304191058523, 0.008730304191058523)
SRR14654865	(-0.009595906903304773, 0.009595906903304773)
SRR14654870	(-0.01071632070866505, 0.01071632070866505)
SRR14654871	(-0.007800584379033257, 0.007800584379033257)
SRR14654872	(-0.009800688660906536, 0.009800688660906536)
SRR14654873	(-0.010779044042608855, 0.010779044042608855)
SRR14654874	(-0.009861454012578616, 0.009861454012578616)
SRR14654875	(-0.009624033756281025, 0.009624033756281025)
SRR14654876	(-0.005681552281043719, 0.005681552281043719)
SRR14654877	(-0.01011519134108433, 0.01011519134108433)
