	heip_e
SRR3108963	0.057725661303861586
SRR3108968	0.028702901994436116
SRR3108969	0.28182565211717014
SRR3108988	0.05683897752291711
SRR3108989	0.038861036423932224
SRR3108991	0.04253198789384145
SRR3108994	0.18169551890971
SRR3108998	0.5287940891185066
SRR8365816	0.32811675595451356
SRR8365817	0.13777888222880794
SRR8365826	0.2495554954880449
SRR8365827	0.34729613535888143
SRR8365828	0.1279003492400519
SRR8365829	0.47312177183243487
SRR8365832	0.28220903444165124
SRR8365833	0.191381350097014
SRR8365834	0.3666885700426722
SRR8365849	0.12803295076988774
SRR8365850	0.07505097828054026
SRR8365851	0.12388784968120486
SRR8365852	0.1526398816158369
SRR8365853	0.07844117835170292
SRR8365854	0.14260472984941
SRR8365855	0.22590056592574975
SRR8365856	0.47732954426011215
SRR8365867	0.09927936115309963
SRR8365868	0.19534534010480964
SRR9660293	0.35571998467330607
SRR9660294	0.4055784916667251
SRR9660295	0.3407834647811094
SRR9660296	0.3338795636938372
SRR9660297	0.3540083277741604
SRR9660298	0.3750345295433711
SRR9660299	0.38656491514795965
SRR9660300	0.2741716014603999
SRR14654853	0.5993999353133754
SRR14654854	0.6355399708324161
SRR14654855	0.6944493649120372
SRR14654856	0.6490767968931956
SRR14654857	0.5935180935272696
SRR14654858	0.6495990898961563
SRR14654859	0.660088836416168
SRR14654865	0.6430753401202575
SRR14654870	0.5801897834015017
SRR14654871	0.6129012048354116
SRR14654872	0.6026939848628688
SRR14654873	0.6050164374485136
SRR14654874	0.576124923767525
SRR14654875	0.5993359959757233
SRR14654876	0.5263057812294846
SRR14654877	0.6037000359707929
