	michaelis_menten_fit
SRR3108963	772.1891253049282
SRR3108968	194.72197973596343
SRR3108969	1865.003990482243
SRR3108988	499.1027788320618
SRR3108989	314.6203538469751
SRR3108991	149.30702099531777
SRR3108994	969.6766496944166
SRR3108998	757.2505756079214
SRR8365816	1005.8142308984845
SRR8365817	528.8071098009681
SRR8365826	811.9919034680794
SRR8365827	421.78011423262836
SRR8365828	577.0622875287428
SRR8365829	359.5111343947186
SRR8365832	552.0801609690492
SRR8365833	575.7738753259471
SRR8365834	885.3506970975458
SRR8365849	186.5889553424685
SRR8365850	384.9830027672673
SRR8365851	392.4133890598562
SRR8365852	668.5838765556969
SRR8365853	499.92185143003775
SRR8365854	374.68538068934834
SRR8365855	813.0335096638278
SRR8365856	132.87081970277433
SRR8365867	517.1964164218007
SRR8365868	439.8843527763165
SRR9660293	1882.7934541031427
SRR9660294	2081.8107474510616
SRR9660295	1861.620346761541
SRR9660296	1527.0478219547417
SRR9660297	1007.953576625935
SRR9660298	1998.7388694116084
SRR9660299	1591.5062967872811
SRR9660300	2069.9495983760326
SRR14654853	58.52503896896751
SRR14654854	59.662438275111576
SRR14654855	97.62268578937945
SRR14654856	153.9891710777479
SRR14654857	119.13986986846751
SRR14654858	67.730114501714
SRR14654859	89.75249240608123
SRR14654865	64.8306404825347
SRR14654870	78.52916480494923
SRR14654871	68.30754522497725
SRR14654872	75.72707648425889
SRR14654873	56.892838532557114
SRR14654874	73.53837270363648
SRR14654875	58.505104456606034
SRR14654876	124.9897653302355
SRR14654877	50.16378777568571
