	pielou_evenness
SRR3108963	0.571691350139812
SRR3108968	0.3540223421109416
SRR3108969	0.8312012617190329
SRR3108988	0.5408919534248594
SRR3108989	0.4453192521932083
SRR3108991	0.39389142461056664
SRR3108994	0.7514296365323938
SRR3108998	0.9034649428567108
SRR8365816	0.8385531648834661
SRR8365817	0.6846895206582915
SRR8365826	0.7923317986957362
SRR8365827	0.8248319942714564
SRR8365828	0.6770121783638157
SRR8365829	0.8728438876338698
SRR8365832	0.7993774560495304
SRR8365833	0.7398168933266339
SRR8365834	0.8517957320407582
SRR8365849	0.6117086880469541
SRR8365850	0.5679944705191149
SRR8365851	0.65124181921421
SRR8365852	0.711303527916359
SRR8365853	0.592524081734746
SRR8365854	0.6726484577418324
SRR8365855	0.7778851038024372
SRR8365856	0.8493352468060847
SRR8365867	0.6316675903999383
SRR8365868	0.7321715861507746
SRR9660293	0.8622373526850492
SRR9660294	0.8811649454735062
SRR9660295	0.8563430253914915
SRR9660296	0.8497437652640807
SRR9660297	0.8496973472645647
SRR9660298	0.8703801225655732
SRR9660299	0.8703323312784912
SRR9660300	0.8296850361171781
SRR14654853	0.8742422496212849
SRR14654854	0.8885426249774198
SRR14654855	0.9196735432473792
SRR14654856	0.9131979979463054
SRR14654857	0.8899291369165043
SRR14654858	0.8975712195507919
SRR14654859	0.9069181180458186
SRR14654865	0.8940217912293458
SRR14654870	0.8742810632785188
SRR14654871	0.8842479608403924
SRR14654872	0.8822853144618651
SRR14654873	0.8748659694988461
SRR14654874	0.8705976923020377
SRR14654875	0.8742162158750749
SRR14654876	0.8659006712850804
SRR14654877	0.8718845773979568
