	simpson_e
SRR3108963	0.006499666639074492
SRR3108968	0.013792297558792228
SRR3108969	0.048247403075735815
SRR3108988	0.016098928347383905
SRR3108989	0.013036294116098369
SRR3108991	0.024753355547069485
SRR3108994	0.026982146402774684
SRR3108998	0.2807695025247317
SRR8365816	0.09767238066345192
SRR8365817	0.04379620148888386
SRR8365826	0.04558516008100923
SRR8365827	0.1045196477881292
SRR8365828	0.022285997176081013
SRR8365829	0.25996264706289285
SRR8365832	0.08926659467455425
SRR8365833	0.045312797453377025
SRR8365834	0.10055353779920953
SRR8365849	0.03231117195419372
SRR8365850	0.02175082734301011
SRR8365851	0.027160251951164692
SRR8365852	0.03366944505601332
SRR8365853	0.01364839254360807
SRR8365854	0.04567202768117457
SRR8365855	0.04714221817646682
SRR8365856	0.26988774298373536
SRR8365867	0.03152545478800733
SRR8365868	0.05255043572600171
SRR9660293	0.14987981993755495
SRR9660294	0.1634169849026269
SRR9660295	0.13036042921496163
SRR9660296	0.12233738913668724
SRR9660297	0.1643009095085886
SRR9660298	0.1615517293204938
SRR9660299	0.17371973481515143
SRR9660300	0.07042455477379281
SRR14654853	0.4101403673077801
SRR14654854	0.48066610989214414
SRR14654855	0.5451161639087195
SRR14654856	0.4487611095431574
SRR14654857	0.3233935873895274
SRR14654858	0.4545947781899666
SRR14654859	0.4772450519753276
SRR14654865	0.4849904780450092
SRR14654870	0.3861808876018587
SRR14654871	0.4734224888555596
SRR14654872	0.45437850656486783
SRR14654873	0.42719167904903416
SRR14654874	0.3945729634566221
SRR14654875	0.4224721259375028
SRR14654876	0.26256151041862014
SRR14654877	0.4358148836638548
