sample-id	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	BioSampleModel	Bytes	Center Name	collection_date	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	env_biome	env_feature	env_material	Experiment	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	Host	Family	Order	Life_trait	Instrument	Isolation_source	lat_lon	lat_dec	lon_dec	Library Name	LibraryLayout	LibrarySelection	Region	LibrarySource	misc_param	Organism	Platform	ReleaseDate	Sample Name	SRA Study	Altitude (m)	Ann_mean_temp	Ann_mean_precip	Precip_Rainy	Precip_Dry	Main_Text	pH	C (%)	N (ug g-1)	P (ug g-1)	K (ug g-1)	EC (mS/m)	Strategy	Soils	Sand (%)	Silt (%)	Clay (%)	Texture	Density (kg/dm3)	Gravel (%)	Organic_C (%w)	CEC_clay  (cmol/kg)	CEC_soil (cmol/kg)	Saturation (%)	TEB (cmol/kg)	CaCO (%w)	Gypsum (%w)	Sodicity (%)
SRR9660293	AMPLICON	498	34579438	PRJNA553550	SAMN12238117	Metagenome or environmental	19842585	BRIGHAM YOUNG UNIVERSITY	01/09/2017	public	fastq,sra	ncbi,gs,s3	s3.us-east-1,gs.US,ncbi.public	desert	Rhizosphere	Soil	SRX6421278	USA	North America	USA: Utah	Allenrolfea occidentalis	Amaranthaceae	Caryophyllales	Deciduous	Illumina HiSeq 2500	Xerophyte Rhizosphere	39.9517 N 111.9008 W	39.9517	-111.9008	halomicrobiome 8	PAIRED	PCR	v3/v4	METAGENOMIC	halomicrobiome 8	rhizosphere metagenome	ILLUMINA	lunes, 8 de julio de 2019	Rhizosphere	SRP213895	1387	10.29167	302	92	60	Utah	7.8	na	na	na	na	70	Halophyte	RG	43	35	22	loam	1.4	17	0.77	40	17	100	31.1	15	0	2
SRR9660294	AMPLICON	498	33436047	PRJNA553550	SAMN12238116	Metagenome or environmental	18568141	BRIGHAM YOUNG UNIVERSITY	15/06/2017	public	fastq,sra	ncbi,gs,s3	ncbi.public,s3.us-east-1,gs.US	desert	Rhizosphere	Soil	SRX6421277	USA	North America	USA: Utah	Allenrolfea occidentalis	Amaranthaceae	Caryophyllales	Deciduous	Illumina HiSeq 2500	Xerophyte Rhizosphere	39.9517 N 111.9008 W	39.9517	-111.9008	halomicrobiome 7	PAIRED	PCR	v3/v4	METAGENOMIC	halomicrobiome 7	rhizosphere metagenome	ILLUMINA	lunes, 8 de julio de 2019	Rhizosphere	SRP213895	1387	10.29167	302	92	60	Utah	7.56	na	na	na	na	16	Halophyte	RG	43	35	22	loam	1.4	17	0.77	40	17	100	31.1	15	0	2
SRR9660295	AMPLICON	498	41491864	PRJNA553550	SAMN12238115	Metagenome or environmental	23365131	BRIGHAM YOUNG UNIVERSITY	01/06/2017	public	fastq,sra	gs,ncbi,s3	ncbi.public,gs.US,s3.us-east-1	desert	Rhizosphere	Soil	SRX6421276	USA	North America	USA: Utah	Allenrolfea occidentalis	Amaranthaceae	Caryophyllales	Deciduous	Illumina HiSeq 2500	Xerophyte Rhizosphere	39.9517 N 111.9008 W	39.9517	-111.9008	halomicrobiome 6	PAIRED	PCR	v3/v4	METAGENOMIC	halomicrobiome 6	rhizosphere metagenome	ILLUMINA	lunes, 8 de julio de 2019	Rhizosphere	SRP213895	1387	10.29167	302	92	60	Utah	7.56	na	na	na	na	16	Halophyte	RG	43	35	22	loam	1.4	17	0.77	40	17	100	31.1	15	0	2
SRR14654870	AMPLICON	463	612605	PRJNA309754	SAMN04419098	MIMS.me,MIGS/MIMS/MIMARKS.plant-associated	1433939	FORMAN CHRISTIAN COLLEGE	23/01/2015	public	sff,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	Salt Mines	Rhizosphere	soil	SRX10993373	Pakistan	Afroeurasia	Pakistan: Khewran	Atriplex amnicola	Amaranthaceae	Caryophyllales	Perennial	454 GS FLX Titanium	Highly saline soil	73.00 N 32.41 E	32.41	73	soil microbiome16	SINGLE	PCR	v3/v4	METAGENOMIC	Atriplex amnicola4	rhizosphere metagenome	LS454	miércoles, 26 de mayo de 2021	Atriplex amnicola4	SRP321293	199	23.375	425	257	21	Sandy loam	8.25	33.39	12.87	3.29	0.55	4.85	Halophyte	CL	40	37	23	loam	1.31	4	0.56	93	18	100	33.2	9	0.4	3
SRR14654871	AMPLICON	464	691397	PRJNA309754	SAMN04419097	MIMS.me,MIGS/MIMS/MIMARKS.plant-associated	1604248	FORMAN CHRISTIAN COLLEGE	23/01/2015	public	sff,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	Salt Mines	Rhizosphere	soil	SRX10993372	Pakistan	Afroeurasia	Pakistan: Khewran	Atriplex amnicola	Amaranthaceae	Caryophyllales	Perennial	454 GS FLX Titanium	Highly saline soil	73.04 N 32.36 E	32.36	73.04	soil microbiome15	SINGLE	PCR	v3/v4	METAGENOMIC	Atriplex amnicola3	rhizosphere metagenome	LS454	miércoles, 26 de mayo de 2021	Atriplex amnicola3	SRP321293	201	23.38333	425	258	21	Sandy loam	8.25	33.39	12.87	3.29	0.55	4.85	Halophyte	CL	40	37	23	loam	1.31	4	0.56	93	18	100	33.2	9	0.4	3
SRR14654872	AMPLICON	464	642227	PRJNA309754	SAMN04419096	MIMS.me,MIGS/MIMS/MIMARKS.plant-associated	1497381	FORMAN CHRISTIAN COLLEGE	23/01/2015	public	sff,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	Salt Mines	Rhizosphere	soil	SRX10993371	Pakistan	Afroeurasia	Pakistan: Khewran	Atriplex amnicola	Amaranthaceae	Caryophyllales	Perennial	454 GS FLX Titanium	Highly saline soil	73.03 N 32.39 E	32.39	73.03	soil microbiome14	SINGLE	PCR	v3/v4	METAGENOMIC	Atriplex amnicola2	rhizosphere metagenome	LS454	miércoles, 26 de mayo de 2021	Atriplex amnicola2	SRP321293	201	23.35833	426	259	21	Sandy loam	8.25	33.39	12.87	3.29	0.55	4.85	Halophyte	CL	40	37	23	loam	1.31	4	0.56	93	18	100	33.2	9	0.4	3
SRR14654873	AMPLICON	462	429377	PRJNA309754	SAMN04419095	MIMS.me,MIGS/MIMS/MIMARKS.plant-associated	1016225	FORMAN CHRISTIAN COLLEGE	23/01/2015	public	sff,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	Salt Mines	Rhizosphere	soil	SRX10993370	Pakistan	Afroeurasia	Pakistan: Khewran	Atriplex amnicola	Amaranthaceae	Caryophyllales	Perennial	454 GS FLX Titanium	Highly saline soil	73.06 N 32.34 E	32.34	73.06	soil microbiome13	SINGLE	PCR	v3/v4	METAGENOMIC	Atriplex amnicola1	rhizosphere metagenome	LS454	miércoles, 26 de mayo de 2021	Atriplex amnicola1	SRP321293	201	23.375	427	260	21	Sandy loam	8.25	33.39	12.87	3.29	0.55	4.85	Halophyte	CL	40	37	23	loam	1.31	4	0.56	93	18	100	33.2	9	0.4	3
SRR14654855	AMPLICON	457	617343	PRJNA309754	SAMN04419090	MIMS.me,MIGS/MIMS/MIMARKS.plant-associated	1451627	FORMAN CHRISTIAN COLLEGE	12/11/2014	public	sra,sff	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	agricultural field	Rhizosphere	soil	SRX10993388	Pakistan	Afroeurasia	Pakistan: Khewran	Kochia indica	Chenopodiaceae	Caryophyllales	Perennial	454 GS FLX Titanium	Moderately saline soil	73.07 N 31.49 E	31.49	73.07	soil microbiome8	SINGLE	PCR	v3/v4	METAGENOMIC	Kochia indica4	rhizosphere metagenome	LS454	miércoles, 26 de mayo de 2021	Kochia indica4	SRP321293	185	23.86667	366	235	18	Silty loam	8.16	32.95	13.12	2.56	0.45	3.57	Halophyte	CL	39	37	24	loam	1.46	20	0.37	45	15	100	24	26	0.1	8
SRR14654856	AMPLICON	461	998956	PRJNA309754	SAMN04419089	MIMS.me,MIGS/MIMS/MIMARKS.plant-associated	2316000	FORMAN CHRISTIAN COLLEGE	12/11/2014	public	sff,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	agricultural field	Rhizosphere	soil	SRX10993387	Pakistan	Afroeurasia	Pakistan: Khewran	Kochia indica	Chenopodiaceae	Caryophyllales	Perennial	454 GS FLX Titanium	Moderately saline soil	73.02 N 31.43 E	31.43	73.02	soil microbiome7	SINGLE	PCR	v3/v4	METAGENOMIC	Kochia indica3	rhizosphere metagenome	LS454	miércoles, 26 de mayo de 2021	Kochia indica3	SRP321293	180	23.99583	359	232	16	Silty loam	8.16	32.95	13.12	2.56	0.45	3.57	Halophyte	CL	39	37	24	loam	1.46	20	0.37	45	15	100	24	26	0.1	8
SRR14654857	AMPLICON	450	833080	PRJNA309754	SAMN04419088	MIMS.me,MIGS/MIMS/MIMARKS.plant-associated	1959216	FORMAN CHRISTIAN COLLEGE	12/11/2014	public	sff,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	agricultural field	Rhizosphere	soil	SRX10993386	Pakistan	Afroeurasia	Pakistan: Khewran	Kochia indica	Chenopodiaceae	Caryophyllales	Perennial	454 GS FLX Titanium	Moderately saline soil	73.03 N 31.47 E	31.47	73.03	soil microbiome6	SINGLE	PCR	v3/v4	METAGENOMIC	Kochia indica2	rhizosphere metagenome	LS454	miércoles, 26 de mayo de 2021	Kochia indica2	SRP321293	181	23.79583	360	232	17	Silty loam	8.16	32.95	13.12	2.56	0.45	3.57	Halophyte	CL	40	37	23	loam	1.31	4	0.56	93	18	100	33.2	9	0.4	3
