	ace
SRR3108963	752.9752500881891
SRR3108968	192.2579407702931
SRR3108969	1840.478777708786
SRR3108988	486.3036158028172
SRR3108989	306.1971253902185
SRR3108991	145.68950902468993
SRR3108994	954.4942322404155
SRR3108998	733.9704431436754
SRR8365816	987.0292034325905
SRR8365817	518.6979645517132
SRR8365826	787.9184617797763
SRR8365827	408.9061049421903
SRR8365828	562.9929886024659
SRR8365829	352.8040517911656
SRR8365832	536.2713630444939
SRR8365833	560.189781288163
SRR8365834	864.1149785455167
SRR8365849	181.87481516204764
SRR8365850	372.45426347472073
SRR8365851	380.57939683715364
SRR8365852	654.5932955221028
SRR8365853	489.7506936187078
SRR8365854	365.9133603755633
SRR8365855	797.7752389996064
SRR8365856	128.21388960031635
SRR8365867	504.6399323885387
SRR8365868	429.99606208381346
SRR9660293	1899.7041419389902
SRR9660294	2014.8796688208513
SRR9660295	1819.50168343116
SRR9660296	1520.1696348668722
SRR9660297	995.4955265170536
SRR9660298	1953.56223957776
SRR9660299	1549.6448111618465
SRR9660300	2024.0028340462463
SRR14654853	53.0
SRR14654854	53.0
SRR14654855	88.0
SRR14654856	139.0
SRR14654857	108.0
SRR14654858	62.0
SRR14654859	81.0
SRR14654865	59.0
SRR14654870	70.0
SRR14654871	63.0
SRR14654872	68.0
SRR14654873	50.0
SRR14654874	65.0
SRR14654875	53.0
SRR14654876	113.0
SRR14654877	46.0
