	brillouin_d
SRR3108963	3.739562079627752
SRR3108968	1.8490775676558988
SRR3108969	6.1738865306617985
SRR3108988	3.3161180838996205
SRR3108989	2.5327453481127606
SRR3108991	1.9511946150769701
SRR3108994	5.0940484972495765
SRR3108998	5.874443665098446
SRR8365816	5.744206685375535
SRR8365817	4.263395018757135
SRR8365826	5.241154972707165
SRR8365827	4.914915993630808
SRR8365828	4.260627103125964
SRR8365829	5.073819243148298
SRR8365832	4.98608255423077
SRR8365833	4.652935690937806
SRR8365834	5.707080328605485
SRR8365849	3.153531326532077
SRR8365850	3.3451167787670593
SRR8365851	3.836094709550842
SRR8365852	4.591602133362185
SRR8365853	3.6472546596236004
SRR8365854	3.9484235106785284
SRR8365855	5.169907454310565
SRR8365856	4.068352284221533
SRR8365867	3.915673871563195
SRR8365868	4.414734499743005
SRR9660293	6.392453807966794
SRR9660294	6.609293130222653
SRR9660295	6.352894032201138
SRR9660296	6.13742705484195
SRR9660297	5.832106905888626
SRR9660298	6.521054320309965
SRR9660299	6.301536830843507
SRR9660300	6.2412891338519305
SRR14654853	3.3356568533309203
SRR14654854	3.3792135059638224
SRR14654855	3.9538425335752034
SRR14654856	4.356250036164741
SRR14654857	4.023238114360581
SRR14654858	3.568698931921593
SRR14654859	3.830155863276937
SRR14654865	3.5056435896199107
SRR14654870	3.567097075245748
SRR14654871	3.545717854445943
SRR14654872	3.584627690130277
SRR14654873	3.26343931607902
SRR14654874	3.4824684201496923
SRR14654875	3.336566056186762
SRR14654876	3.961686301374278
SRR14654877	3.2142782501388996
