	chao1
SRR3108963	756.5294117647059
SRR3108968	192.11111111111111
SRR3108969	1860.7586206896551
SRR3108988	496.7692307692308
SRR3108989	306.75
SRR3108991	149.0
SRR3108994	964.9230769230769
SRR3108998	737.1111111111111
SRR8365816	990.0526315789474
SRR8365817	519.1
SRR8365826	788.4736842105264
SRR8365827	409.2
SRR8365828	563.8
SRR8365829	352.6666666666667
SRR8365832	535.5263157894736
SRR8365833	559.6666666666666
SRR8365834	865.9545454545455
SRR8365849	181.375
SRR8365850	372.07142857142856
SRR8365851	381.75
SRR8365852	654.1666666666666
SRR8365853	493.875
SRR8365854	365.1666666666667
SRR8365855	798.9285714285714
SRR8365856	128.0
SRR8365867	504.27272727272725
SRR8365868	429.42857142857144
SRR9660293	1969.3867924528302
SRR9660294	2054.6666666666665
SRR9660295	1838.7586206896551
SRR9660296	1570.0
SRR9660297	1003.8823529411765
SRR9660298	1985.8961038961038
SRR9660299	1584.3382352941176
SRR9660300	2060.4505494505493
SRR14654853	53.0
SRR14654854	53.0
SRR14654855	88.0
SRR14654856	139.0
SRR14654857	108.0
SRR14654858	62.0
SRR14654859	81.0
SRR14654865	59.0
SRR14654870	70.0
SRR14654871	63.0
SRR14654872	68.0
SRR14654873	50.0
SRR14654874	65.0
SRR14654875	53.0
SRR14654876	113.0
SRR14654877	46.0
