	chao1_ci
SRR3108963	(747.5037958307589, 778.080289116278)
SRR3108968	(189.61055350444133, 204.85284872705074)
SRR3108969	(1836.2699625348482, 1900.9173850714258)
SRR3108988	(485.3455149022057, 528.7588559787994)
SRR3108989	(303.84124236515464, 319.71634784752587)
SRR3108991	(144.8647752514071, 172.90924544767142)
SRR3108994	(950.0717674931168, 995.4484224606058)
SRR3108998	(730.1176532694986, 755.982318093162)
SRR8365816	(984.5540275763799, 1007.3892620212713)
SRR8365817	(517.3617967366557, 529.1891646695449)
SRR8365826	(785.8317995635066, 799.506477911086)
SRR8365827	(408.1389093972996, 418.3664692813707)
SRR8365828	(561.5409072033923, 575.4941682248473)
SRR8365829	(351.25472583573713, 361.90497070993683)
SRR8365832	(535.0527761960192, 540.2487358154577)
SRR8365833	(559.0729740827765, 565.0904423534255)
SRR8365834	(861.1720178108583, 881.267636221743)
SRR8365849	(181.02768131449088, 186.08014169797767)
SRR8365850	(372.00243203706873, 374.0978466495755)
SRR8365851	(378.84124236515464, 394.71634784752587)
SRR8365852	(653.1730640746341, 660.864781376425)
SRR8365853	(488.70930774302246, 514.651910659705)
SRR8365854	(365.00903219786596, 368.07541732255817)
SRR8365855	(795.9263555824994, 811.6606363268695)
SRR8365856	(128, 128)
SRR8365867	(504.0180186298864, 508.1279589934478)
SRR8365868	(429.03704364534383, 433.95829899252175)
SRR9660293	(1916.9228299298213, 2045.3916439986904)
SRR9660294	(2024.9050787741246, 2101.8283280924556)
SRR9660295	(1816.4753695475686, 1875.8749651828311)
SRR9660296	(1532.170040982317, 1630.131733761351)
SRR9660297	(994.4178326875193, 1029.8806328729868)
SRR9660298	(1959.5554824912258, 2029.3448520787908)
SRR9660299	(1555.9482316823817, 1631.4948393804664)
SRR9660300	(2030.2239230042067, 2108.1720114773816)
SRR14654853	(53, 53.01122126784614)
SRR14654854	(53, 53.02440484671591)
SRR14654855	(88, 88.05417811115315)
SRR14654856	(139, 139.03155511651562)
SRR14654857	(108, 108.02126121700023)
SRR14654858	(62, 62.01021989475212)
SRR14654859	(81, 81.0362229914723)
SRR14654865	(59, 59.01487362600712)
SRR14654870	(70, 70.02744039984951)
SRR14654871	(63, 63.00329631980088)
SRR14654872	(68, 68.01640586303058)
SRR14654873	(50, 50.04461782456851)
SRR14654874	(65, 65.03521792438602)
SRR14654875	(53, 53.01080455139092)
SRR14654876	(113, 113.01181748015233)
SRR14654877	(46, 46.0050323805509)
