	doubles
SRR3108963	33
SRR3108968	8
SRR3108969	86
SRR3108988	12
SRR3108989	11
SRR3108991	2
SRR3108994	38
SRR3108998	26
SRR8365816	18
SRR8365817	9
SRR8365826	18
SRR8365827	4
SRR8365828	9
SRR8365829	8
SRR8365832	18
SRR8365833	14
SRR8365834	21
SRR8365849	7
SRR8365850	13
SRR8365851	11
SRR8365852	17
SRR8365853	7
SRR8365854	17
SRR8365855	13
SRR8365856	1
SRR8365867	10
SRR8365868	13
SRR9660293	105
SRR9660294	89
SRR9660295	86
SRR9660296	69
SRR9660297	16
SRR9660298	76
SRR9660299	67
SRR9660300	90
SRR14654853	4
SRR14654854	4
SRR14654855	12
SRR14654856	8
SRR14654857	12
SRR14654858	6
SRR14654859	10
SRR14654865	8
SRR14654870	12
SRR14654871	9
SRR14654872	11
SRR14654873	5
SRR14654874	8
SRR14654875	7
SRR14654876	12
SRR14654877	7
