	enspie
SRR3108963	4.816252979554199
SRR3108968	2.606744238611731
SRR3108969	86.748830730173
SRR3108988	7.71138667839689
SRR3108989	3.949997117177806
SRR3108991	3.5644831987780057
SRR3108994	25.255289032997105
SRR3108998	203.83865883295522
SRR8365816	95.91427781150979
SRR8365817	22.642636169752954
SRR8365826	35.78435066359224
SRR8365827	42.64401629755671
SRR8365828	12.502444415781447
SRR8365829	91.24688911907539
SRR8365832	47.757628150886525
SRR8365833	25.32985377643776
SRR8365834	86.37548896952099
SRR8365849	5.848322123709062
SRR8365850	8.09130777159976
SRR8365851	10.266575237540254
SRR8365852	21.9861476215767
SRR8365853	6.646767168737131
SRR8365854	16.67029010362872
SRR8365855	37.478063450291124
SRR8365856	34.545631101918126
SRR8365867	15.888829213155692
SRR8365868	22.544136926454733
SRR9660293	269.7836758875989
SRR9660294	322.58512819778554
SRR9660295	232.43264529027658
SRR9660296	179.59128725265685
SRR9660297	162.49359950399415
SRR9660298	310.0177685660276
SRR9660299	262.8379587753241
SRR9660300	139.29976934256217
SRR14654853	21.737439467312345
SRR14654854	25.47530382428364
SRR14654855	47.970222423967314
SRR14654856	62.37779422649888
SRR14654857	34.92650743806896
SRR14654858	28.18487624777793
SRR14654859	38.65684921000154
SRR14654865	28.614438204655546
SRR14654870	27.03266213213011
SRR14654871	29.825616797900256
SRR14654872	30.89773844641101
SRR14654873	21.359583952451707
SRR14654874	25.647242624680434
SRR14654875	22.391022674687648
SRR14654876	29.669450677304074
SRR14654877	20.04748464853732
