	fisher_alpha
SRR3108963	126.45215202544327
SRR3108968	23.673346215667248
SRR3108969	332.494651385536
SRR3108988	73.32640624788903
SRR3108989	41.46054470988067
SRR3108991	17.91982228830539
SRR3108994	166.28084932375825
SRR3108998	144.87170105986155
SRR8365816	158.49531644569086
SRR8365817	71.89375162115968
SRR8365826	133.14298652497163
SRR8365827	69.98910261497333
SRR8365828	86.07658151830353
SRR8365829	59.417618322811386
SRR8365832	88.42171797575303
SRR8365833	87.28149346595495
SRR8365834	150.69047459922564
SRR8365849	28.289147886791422
SRR8365850	53.51009527508383
SRR8365851	60.40205884908839
SRR8365852	94.92516931342168
SRR8365853	71.53910017034502
SRR8365854	54.018388640732866
SRR8365855	121.44471866776924
SRR8365856	23.017799471876994
SRR8365867	70.4940563881553
SRR8365868	64.8897872850863
SRR9660293	357.7018910113763
SRR9660294	398.67891373906696
SRR9660295	333.40463177123286
SRR9660296	276.41050311159074
SRR9660297	154.02103666064093
SRR9660298	359.1181920878251
SRR9660299	299.29267377604134
SRR9660300	368.24465512624937
SRR14654853	12.975614480816127
SRR14654854	13.466405653536146
SRR14654855	23.033035782728156
SRR14654856	34.91302833704549
SRR14654857	26.7811794501295
SRR14654858	15.065837084265041
SRR14654859	20.778124447125034
SRR14654865	14.594111694676942
SRR14654870	17.764933572347182
SRR14654871	14.647629319896176
SRR14654872	16.841201295512892
SRR14654873	13.158018293393802
SRR14654874	16.74886200759114
SRR14654875	12.954005281279231
SRR14654876	27.27901246747875
SRR14654877	10.926530751637735
