	goods_coverage
SRR3108963	0.9992537313432835
SRR3108968	0.9998847295466989
SRR3108969	0.9985781220377542
SRR3108988	0.9995626851134037
SRR3108989	0.9998382792916632
SRR3108991	0.9998915930402732
SRR3108994	0.998959349593496
SRR3108998	0.9988426461737883
SRR8365816	0.999768071124855
SRR8365817	0.9999266078131225
SRR8365826	0.9997514035342131
SRR8365827	0.9998315009056826
SRR8365828	0.9998624838848302
SRR8365829	0.9997246443322625
SRR8365832	0.9998664280180589
SRR8365833	0.9999050927244083
SRR8365834	0.999599153769068
SRR8365849	0.9998231861849473
SRR8365850	0.9999642058165548
SRR8365851	0.9996823581729242
SRR8365852	0.9999240360720139
SRR8365853	0.9998298293652635
SRR8365854	0.9999353490076073
SRR8365855	0.9998697839597515
SRR8365856	0.999832299178266
SRR8365867	0.9999665570481021
SRR8365868	0.9999169659352749
SRR9660293	0.996511393055836
SRR9660294	0.9978377798824181
SRR9660295	0.9985803194998136
SRR9660296	0.997845910820708
SRR9660297	0.9997566884236584
SRR9660298	0.9986362724781068
SRR9660299	0.9978774950153292
SRR9660300	0.9984404123397619
SRR14654853	1.0
SRR14654854	1.0
SRR14654855	1.0
SRR14654856	1.0
SRR14654857	1.0
SRR14654858	1.0
SRR14654859	1.0
SRR14654865	1.0
SRR14654870	1.0
SRR14654871	1.0
SRR14654872	1.0
SRR14654873	1.0
SRR14654874	1.0
SRR14654875	1.0
SRR14654876	1.0
SRR14654877	1.0
