	mcintosh_d
SRR3108963	0.5469362543706313
SRR3108968	0.38207944445649406
SRR3108969	0.895930589738628
SRR3108988	0.6427568910422662
SRR3108989	0.4988513172603955
SRR3108991	0.47234221611527294
SRR3108994	0.8047605289569572
SRR3108998	0.9363290575591809
SRR8365816	0.9011269781364115
SRR8365817	0.7924123844624025
SRR8365826	0.8366398777137395
SRR8365827	0.8523986126737325
SRR8365828	0.7201707841796886
SRR8365829	0.9014200184736618
SRR8365832	0.8597402879880197
SRR8365833	0.8048128861913597
SRR8365834	0.8966331034491959
SRR8365849	0.5910289713011107
SRR8365850	0.6512020439280984
SRR8365851	0.6918037048110699
SRR8365852	0.7893323776360768
SRR8365853	0.6145394461386198
SRR8365854	0.7585992428264959
SRR8365855	0.8395414375433624
SRR8365856	0.8407488156146551
SRR8365867	0.7516364971557882
SRR8365868	0.7930009933787026
SRR9660293	0.9431589648600127
SRR9660294	0.9483315717435121
SRR9660295	0.937959824757089
SRR9660296	0.9293169948574125
SRR9660297	0.9245591306885592
SRR9660298	0.9466669169748178
SRR9660299	0.9426832360191555
SRR9660300	0.918543204645939
SRR14654853	0.8151221208129231
SRR14654854	0.8339495092611332
SRR14654855	0.8831627295210892
SRR14654856	0.8942551769730485
SRR14654857	0.8529324272677652
SRR14654858	0.8394983197609117
SRR14654859	0.8665094974549421
SRR14654865	0.8425343282009062
SRR14654870	0.8355810113816455
SRR14654871	0.8427033402759758
SRR14654872	0.8477786808334642
SRR14654873	0.8177283615736173
SRR14654874	0.8320495155709509
SRR14654875	0.8183134528011704
SRR14654876	0.8367661092851905
SRR14654877	0.8066151109235491
