	menhinick
SRR3108963	3.5237804264588
SRR3108968	0.7174238515660633
SRR3108969	6.616467741181432
SRR3108988	2.1356068426002413
SRR3108989	1.2184997542750808
SRR3108991	0.6120902325767589
SRR3108994	4.358205045602168
SRR3108998	4.939689971260885
SRR8365816	3.524947443227457
SRR8365817	1.674042337674799
SRR8365826	3.5729464629996377
SRR8365827	2.6480669004221906
SRR8365828	2.3259194225708297
SRR8365829	2.3778174033108255
SRR8365832	2.765199469516881
SRR8365833	2.435435089842661
SRR8365834	4.053645942758138
SRR8365849	1.3895559716378376
SRR8365850	1.573744306086474
SRR8365851	2.13039749389397
SRR8365852	2.1511359978481126
SRR8365853	1.9154681191389145
SRR8365854	1.6944151853979872
SRR8365855	2.735287800016627
SRR8365856	1.6575917058462528
SRR8365867	1.6827601204859626
SRR8365868	1.9545889789200928
SRR9660293	7.712971472952877
SRR9660294	8.344578701762307
SRR9660295	6.751947464413026
SRR9660296	6.21966898872347
SRR9660297	3.216723706985327
SRR9660298	7.016793431916098
SRR9660299	7.005605701507082
SRR9660300	7.043339566874619
SRR14654853	1.925046687574192
SRR14654854	2.0384615384615383
SRR14654855	2.744644590827943
SRR14654856	3.2439821946648895
SRR14654857	2.803540310916291
SRR14654858	2.057542265959913
SRR14654859	2.5563373325461027
SRR14654865	2.0641487141968926
SRR14654870	2.3385358667337135
SRR14654871	1.9295762592698198
SRR14654872	2.220278704724353
SRR14654873	2.0851441405707476
SRR14654874	2.3053124319287033
SRR14654875	1.919987423405879
SRR14654876	2.7487490430694375
SRR14654877	1.7083971112288772
