	osd
SRR3108963	(741, 33, 33)
SRR3108968	(189, 8, 8)
SRR3108969	(1798, 105, 86)
SRR3108988	(479, 22, 12)
SRR3108989	(303, 10, 11)
SRR3108991	(144, 6, 2)
SRR3108994	(936, 48, 38)
SRR3108998	(726, 25, 26)
SRR8365816	(982, 18, 18)
SRR8365817	(517, 7, 9)
SRR8365826	(785, 12, 18)
SRR8365827	(408, 4, 4)
SRR8365828	(561, 8, 9)
SRR8365829	(351, 6, 8)
SRR8365832	(535, 5, 18)
SRR8365833	(559, 5, 14)
SRR8365834	(859, 18, 21)
SRR8365849	(181, 3, 7)
SRR8365850	(372, 2, 13)
SRR8365851	(378, 10, 11)
SRR8365852	(653, 7, 17)
SRR8365853	(487, 11, 7)
SRR8365854	(365, 3, 17)
SRR8365855	(795, 11, 13)
SRR8365856	(128, 1, 1)
SRR8365867	(504, 3, 10)
SRR8365868	(429, 4, 13)
SRR9660293	(1800, 190, 105)
SRR9660294	(1974, 121, 89)
SRR9660295	(1783, 99, 86)
SRR9660296	(1468, 120, 69)
SRR9660297	(989, 23, 16)
SRR9660298	(1919, 102, 76)
SRR9660299	(1513, 99, 67)
SRR9660300	(1978, 123, 90)
SRR14654853	(53, 0, 4)
SRR14654854	(53, 0, 4)
SRR14654855	(88, 0, 12)
SRR14654856	(139, 0, 8)
SRR14654857	(108, 0, 12)
SRR14654858	(62, 0, 6)
SRR14654859	(81, 0, 10)
SRR14654865	(59, 0, 8)
SRR14654870	(70, 0, 12)
SRR14654871	(63, 0, 9)
SRR14654872	(68, 0, 11)
SRR14654873	(50, 0, 5)
SRR14654874	(65, 0, 8)
SRR14654875	(53, 0, 7)
SRR14654876	(113, 0, 12)
SRR14654877	(46, 0, 7)
