	observed_features
SRR3108963	741
SRR3108968	189
SRR3108969	1798
SRR3108988	479
SRR3108989	303
SRR3108991	144
SRR3108994	936
SRR3108998	726
SRR8365816	982
SRR8365817	517
SRR8365826	785
SRR8365827	408
SRR8365828	561
SRR8365829	351
SRR8365832	535
SRR8365833	559
SRR8365834	859
SRR8365849	181
SRR8365850	372
SRR8365851	378
SRR8365852	653
SRR8365853	487
SRR8365854	365
SRR8365855	795
SRR8365856	128
SRR8365867	504
SRR8365868	429
SRR9660293	1800
SRR9660294	1974
SRR9660295	1783
SRR9660296	1468
SRR9660297	989
SRR9660298	1919
SRR9660299	1513
SRR9660300	1978
SRR14654853	53
SRR14654854	53
SRR14654855	88
SRR14654856	139
SRR14654857	108
SRR14654858	62
SRR14654859	81
SRR14654865	59
SRR14654870	70
SRR14654871	63
SRR14654872	68
SRR14654873	50
SRR14654874	65
SRR14654875	53
SRR14654876	113
SRR14654877	46
