	shannon_entropy
SRR3108963	5.450122145989934
SRR3108968	2.677202774633469
SRR3108969	8.987095418273501
SRR3108988	4.816038044604385
SRR3108989	3.6708440740186843
SRR3108991	2.824171973169032
SRR3108994	7.416884573678721
SRR3108998	8.586373377298468
SRR8365816	8.334865607773501
SRR8365817	6.17180535502396
SRR8365826	7.619497442636809
SRR8365827	7.1532938899886656
SRR8365828	6.182378373408532
SRR8365829	7.380180682187114
SRR8365832	7.245073703252236
SRR8365833	6.752090149409144
SRR8365834	8.302039301019871
SRR8365849	4.587720888142012
SRR8365850	4.85019498759394
SRR8365851	5.576090332902819
SRR8365852	6.651356029165287
SRR8365853	5.289923438914542
SRR8365854	5.725417295236577
SRR8365855	7.494775993879696
SRR8365856	5.945346727642593
SRR8365867	5.670656777622934
SRR8365868	6.402718861427007
SRR9660293	9.324046066830357
SRR9660294	9.646030070434955
SRR9660295	9.24858259084617
SRR9660296	8.938995318699515
SRR9660297	8.454341361874127
SRR9660298	9.492486596225712
SRR9660299	9.19349123735066
SRR9660300	9.084907369993013
SRR14654853	5.007590063849104
SRR14654854	5.089501476359441
SRR14654855	5.940568364076317
SRR14654856	6.50100273510883
SRR14654857	6.011371204768418
SRR14654858	5.344315243758773
SRR14654859	5.749724833308902
SRR14654865	5.259211076153335
SRR14654870	5.358716073189614
SRR14654871	5.2853975837270175
SRR14654872	5.370879067167475
SRR14654873	4.937617717179328
SRR14654874	5.243059520216642
SRR14654875	5.007440944621679
SRR14654876	5.905597541839695
SRR14654877	4.815908481788201
