	singles
SRR3108963	33
SRR3108968	8
SRR3108969	105
SRR3108988	22
SRR3108989	10
SRR3108991	6
SRR3108994	48
SRR3108998	25
SRR8365816	18
SRR8365817	7
SRR8365826	12
SRR8365827	4
SRR8365828	8
SRR8365829	6
SRR8365832	5
SRR8365833	5
SRR8365834	18
SRR8365849	3
SRR8365850	2
SRR8365851	10
SRR8365852	7
SRR8365853	11
SRR8365854	3
SRR8365855	11
SRR8365856	1
SRR8365867	3
SRR8365868	4
SRR9660293	190
SRR9660294	121
SRR9660295	99
SRR9660296	120
SRR9660297	23
SRR9660298	102
SRR9660299	99
SRR9660300	123
SRR14654853	0
SRR14654854	0
SRR14654855	0
SRR14654856	0
SRR14654857	0
SRR14654858	0
SRR14654859	0
SRR14654865	0
SRR14654870	0
SRR14654871	0
SRR14654872	0
SRR14654873	0
SRR14654874	0
SRR14654875	0
SRR14654876	0
SRR14654877	0
